name,latitude,longitude,rating,no_of_reviews,delivery_options,promotion,post_code,suburb,road,delivery_cost_winsorized,sun,mon,tue,wed,thu,fri,sat,delivery_time_winsorized
the clueless goat,1.3186689462686845,103.8436226,4.5,210.0,3,0,307631,Novena,Thomson Road,5.4,1,1,1,1,1,1,1,63.0
collin's restaurant,1.315353683654838,103.88323800548793,4.3,3236.0,1,1,388250,Geylang,Lorong 25A Geylang,5.7,1,1,1,1,1,1,1,52.0
4fingers,1.3124127817857243,103.90017531619384,4.1,2008.0,1,1,427471,Geylang,Joo Chiat Road,7.5,1,1,1,1,1,1,1,55.0
swensen's,1.301416854710495,103.9055632,4.3,440.0,1,1,449408,Marine Parade,Marine Parade Central,7.1,1,1,1,1,1,1,1,57.0
hanis,1.3169317,103.89275455555556,4.4,581.0,1,1,409057,Geylang,Sims Avenue,6.2,1,1,1,1,1,1,1,57.0
cedele,1.3010902610764088,103.90584542635084,3.7,165.0,1,1,440089,Marine Parade,Marine Parade Central,8.0,1,1,1,1,1,1,1,70.0
poke theory,1.2993646,103.8581225,4.3,199.0,3,1,189350,Bugis,Fraser Street,8.9,1,1,1,1,1,1,1,47.0
overeasy,1.318249,103.881281,5.0,3.0,1,0,388410,Geylang,Lorong 23 Geylang,6.0,1,1,1,1,1,1,1,52.0
pizzaexpress,1.300967391672487,103.85784734586464,3.7,34.0,3,0,189350,Bugis,Fraser Street,5.0,1,1,1,1,1,1,1,52.0
kinex (mix & match),1.3148168,103.8948396,4.3,102.0,1,1,437157,Geylang,Haig Road,8.7,1,1,1,1,1,1,1,58.0
the soup spoon union,1.303197112999371,103.87288295870388,5.0,8.0,3,0,397750,Kallang,Stadium Drive,4.09,1,1,1,1,1,1,1,53.0
canadian pizza,1.3069255001473523,103.90426427294014,3.7,250.0,1,1,427633,Marine Parade,Joo Chiat Road,5.7,1,1,1,1,1,1,1,55.0
napolizz pizza,1.3119839847439123,103.90044385401724,4.3,278.0,1,1,427456,Geylang,Joo Chiat Road,4.0,1,1,1,1,1,1,1,69.0
kaffe & toast,1.3188080222222225,103.89407525,4.4,1075.0,2,1,400030,Geylang,Sims Avenue Park Connector,7.3,1,1,1,1,1,1,1,53.0
joo chiat mix & match - beta,1.3126364,103.90018258988158,3.8,21.0,1,0,427729,Geylang,Joo Chiat Road,7.3,1,1,1,1,1,1,1,57.0
harvest,1.305291,103.903976,4.6,206.0,1,1,428791,Marine Parade,East Coast Road,5.5,1,1,1,1,1,0,1,50.0
neptune,1.307767,103.907541,5.0,9.0,1,0,428921,Marine Parade,East Coast Road,6.2,1,1,1,1,1,1,1,56.0
haakon superfoods & juice,1.314572399995732,103.8947073,4.5,713.0,1,1,437157,Geylang,Tanjong Katong Road,6.7,1,1,1,1,1,1,1,60.0
squared meals,1.321316,103.88936,5.0,2.0,1,0,389908,Geylang,Aljunied Avenue 4,6.4,1,1,1,1,1,1,1,46.0
kings cart coffee factory,1.309047,103.902627,4.5,33.0,1,1,427592,Marine Parade,Joo Chiat Road,5.9,1,1,1,1,1,1,1,50.0
ninethirty by awfully chocolate,1.306131474470149,103.9049020564326,4.4,228.0,1,1,428820,Marine Parade,East Coast Road,5.6,1,1,1,1,1,1,1,53.0
carnivori,1.3127866666666668,103.9000004,4.5,1304.0,1,1,427729,Geylang,Joo Chiat Road,6.3,1,1,1,1,1,1,1,51.0
west grill station,1.32066,103.90451,4.2,28.0,1,1,400007,Geylang,Jalan Eunos,7.7,1,1,1,1,1,1,1,52.0
bowl & grill,1.442856912672272,103.81673202776108,4.1,2657.0,1,1,751366,Sembawang,Gambas Crescent,21.7,1,1,1,1,1,1,1,70.0
ohana by adams corner,1.31433,103.85768,5.0,2.0,1,0,218153,Kallang,Serangoon Road,6.1,1,1,1,1,1,1,1,60.0
pizzaface,1.3009284445457978,103.8621845183822,4.6,54.0,1,0,199600,Kallang,Beach Road,12.0,1,0,1,1,1,1,1,70.0
mix & match malls (food),1.3175530217546907,103.89302626434689,4.2,22.0,1,1,409057,Geylang,Sims Avenue,7.4,1,1,1,1,1,1,1,62.0
tenderbest makcik tuckshop,1.4386976,103.8065115,4.5,2245.0,1,0,730691,Woodlands,Woodlands Drive 64,21.7,1,1,1,1,1,1,1,70.0
extra virgin pizza,1.318249,103.881281,4.3,14.0,1,0,388410,Geylang,Lorong 23 Geylang,7.3,1,1,1,1,1,1,1,55.0
wursthans switzerland,1.3175649828198743,103.89357662097046,4.6,651.0,1,1,408533,Geylang,Sims Avenue,6.2,1,1,1,1,1,1,1,55.0
burger king,1.3188544511795042,103.8923976,4.0,3135.0,3,1,409051,Geylang,Paya Lebar Road,6.0,1,1,1,1,1,1,1,50.0
kraftwich by swissbake,1.318719,103.89292068333332,4.4,36.0,1,0,409051,Geylang,Eunos Road 8,6.2,1,1,1,1,1,1,1,46.0
kopi & tarts,1.318716575609301,103.89384541886392,4.7,222.0,1,1,408600,Geylang,Eunos Road 8,6.5,1,1,1,1,1,1,1,54.0
subway,1.31887875176146,103.89399190131776,4.3,1510.0,1,1,400030,Geylang,Sims Avenue Park Connector,7.8,1,1,1,1,1,1,1,54.0
chin chai burger,1.307655,103.90749916666668,3.9,54.0,3,0,428921,Marine Parade,East Coast Road,5.8,1,1,1,1,1,1,1,49.0
popeyes,1.3272069,103.67886289032518,4.3,1376.0,1,1,629117,Pioneer,Joo Koon Bus Interchange,7.8,1,1,1,1,1,1,1,48.0
han's,1.327157225,103.67885672857142,4.4,323.0,1,1,629117,Pioneer,Joo Koon Bus Interchange,5.6,1,1,1,1,1,1,1,48.0
istanblue meze & grill,1.3011507,103.8596713,3.6,280.0,1,0,199753,Rochor,Baghdad Street,9.0,1,0,1,1,1,1,1,70.0
epikebabs,1.3021770664491947,103.84973713761616,4.4,455.0,1,1,228095,Rochor,Selegie Road,7.0,1,1,1,1,1,1,1,70.0
pizzaboy,1.3165444762162777,103.9012495284058,4.1,390.0,1,0,419718,Geylang,Everitt Road North,6.7,1,1,1,1,1,1,1,51.0
nuevo cafe,1.3198657,103.89748972233866,4.2,49.0,1,1,409839,Geylang,Eunos Road 5,6.9,1,1,1,1,1,1,1,49.0
kemono healthy japanese roast chicken,1.303569942247923,103.84999149162134,4.2,452.0,1,0,188329,Rochor,Selegie Road,9.0,1,1,1,1,1,1,1,70.0
the rebel company cafe & bar,1.3650943,103.866183333333,3.7,304.0,1,0,557255,Serangoon,Kensington Park Road,5.0,1,1,1,1,1,1,1,70.0
pizza hut,1.2910204,103.8578364,4.3,159.0,1,1,039594,Downtown Core,Raffles Boulevard,3.3,1,1,1,1,1,1,1,45.0
al-malik,1.429321298680435,103.7815721936189,4.3,4147.0,1,1,739065,Woodlands,Woodgrove Drive,21.7,1,1,1,1,1,1,1,70.0
bistro 101,1.3199748,103.8985961,3.5,5.0,1,0,409835,Geylang,Eunos Avenue 3,7.1,1,1,1,1,1,1,1,39.0
domino's,1.325456711,103.6787702,4.3,873.0,3,0,629117,Pioneer,Joo Koon Bus Interchange,4.5,1,1,1,1,1,1,1,55.0
al forno,1.308713,103.9119022,4.3,532.0,1,0,428996,Bedok,East Coast Road,7.2,1,1,1,1,1,1,1,58.0
haji alauddin kebab & grill corner @ indian/arabic/lebanese cuisine near to scotts road,1.31811,103.84408,2.2,101.0,3,1,307591,Novena,North-South Corridor,6.0,1,1,1,1,1,1,1,70.0
amigo's,1.3373782,103.6971933,4.4,2508.0,3,1,640651,Jurong West,Jurong West Park Connector,8.1,1,1,1,1,1,1,1,49.0
tenderbest,1.3200269218817908,103.9029127726468,4.4,232.0,1,1,409423,Geylang,Eunos Crescent,7.9,1,1,1,1,1,1,1,52.0
bbw western food,1.3205965,103.90439812061736,4.4,168.0,1,0,400007,Geylang,Eunos Crescent,7.7,1,1,1,0,1,1,1,33.0
tiga roti,1.44245374,103.81670825,4.5,152.0,1,0,757046,Sembawang,Gambas Crescent,21.7,1,1,1,1,1,1,1,70.0
wolf burgers,1.442489562535883,103.81670498777322,4.3,291.0,1,1,757046,Sembawang,Gambas Crescent,21.7,1,1,1,1,1,1,1,70.0
subway,1.3154587100307111,103.63190372523172,4.6,0.0,1,1,637601,Tuas,Tuas Bay Drive,3.3,0,1,1,1,1,1,0,26.0
arnold's fried chicken,1.3402788,103.7041716,4.5,4978.0,3,1,648346,Jurong West,Jurong West Central 3,5.4,1,1,1,1,1,1,1,54.0
kfc,1.3201745,103.8618573,4.0,1532.0,3,1,322102,Kallang,Serangoon Road,5.6,1,1,1,1,1,1,1,52.0
